Java HotSpot(TM) 64-Bit Server VM (25.231-b11) for windows-amd64 JRE (1.8.0_231-b11), built on Oct  5 2019 03:11:30 by "java_re" with MS VC++ 10.0 (VS2010)
5.420: [GC (Allocation Failure) [PSYoungGen: 36984K->3925K(37376K)] 65842K->33499K(122880K), 0.0022372 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
5.492: [GC (Allocation Failure) [PSYoungGen: 36181K->4244K(37888K)] 65755K->34394K(123392K), 0.0019903 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.564: [GC (Allocation Failure) [PSYoungGen: 36500K->5596K(35840K)] 66650K->36426K(121344K), 0.0023329 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.641: [GC (Allocation Failure) [PSYoungGen: 35804K->3833K(36864K)] 66634K->35380K(122368K), 0.0027159 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.699: [GC (Allocation Failure) [PSYoungGen: 34041K->2400K(36352K)] 65588K->34475K(121856K), 0.0020555 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.779: [GC (Allocation Failure) [PSYoungGen: 33120K->2533K(36864K)] 65195K->35088K(122368K), 0.0017953 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.838: [GC (Allocation Failure) [PSYoungGen: 33253K->3741K(37376K)] 65808K->36776K(122880K), 0.0019457 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.890: [GC (Allocation Failure) [PSYoungGen: 34973K->4986K(36352K)] 68008K->38556K(121856K), 0.0023248 secs] [Times: user=0.23 sys=0.00, real=0.00 secs] 
6.160: [GC (Allocation Failure) [PSYoungGen: 36218K->2158K(37376K)] 69788K->36119K(122880K), 0.0018094 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.426: [GC (Allocation Failure) [PSYoungGen: 32878K->3967K(36864K)] 66839K->38344K(122368K), 0.0024080 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.484: [GC (Allocation Failure) [PSYoungGen: 34687K->2146K(36864K)] 69064K->36977K(122368K), 0.0019735 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.550: [GC (Allocation Failure) [PSYoungGen: 32866K->2564K(36864K)] 67697K->37819K(122368K), 0.0022364 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.611: [GC (Allocation Failure) [PSYoungGen: 33284K->3478K(37376K)] 68539K->39460K(122880K), 0.0021554 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.695: [GC (Allocation Failure) [PSYoungGen: 34710K->3888K(37376K)] 70692K->40407K(122880K), 0.0019992 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.007: [GC (Allocation Failure) [PSYoungGen: 35120K->2393K(36352K)] 71639K->39531K(121856K), 0.0020223 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.892: [GC (Allocation Failure) [PSYoungGen: 33625K->3052K(36864K)] 70763K->41295K(122368K), 0.0023108 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
19.095: [GC (Metadata GC Threshold) [PSYoungGen: 31884K->2889K(37888K)] 70126K->42412K(123392K), 0.0032336 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
19.098: [Full GC (Metadata GC Threshold) [PSYoungGen: 2889K->0K(37888K)] [ParOldGen: 39522K->33939K(87552K)] 42412K->33939K(125440K), [Metaspace: 55959K->55959K(1099776K)], 0.1185445 secs] [Times: user=0.83 sys=0.00, real=0.12 secs] 
76.918: [GC (Allocation Failure) [PSYoungGen: 32256K->4683K(37888K)] 66195K->38630K(125440K), 0.0025665 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
144.655: [GC (Allocation Failure) [PSYoungGen: 36939K->4258K(36864K)] 70886K->38213K(124416K), 0.0023680 secs] [Times: user=0.23 sys=0.02, real=0.00 secs] 
208.934: [GC (Allocation Failure) [PSYoungGen: 35490K->4006K(37376K)] 69445K->37969K(124928K), 0.0024932 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
387.938: [GC (Allocation Failure) [PSYoungGen: 35238K->4525K(37376K)] 69201K->38496K(124928K), 0.0028807 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
544.355: [GC (Allocation Failure) [PSYoungGen: 35757K->5331K(36864K)] 69728K->39310K(124416K), 0.0027525 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
767.996: [GC (Allocation Failure) [PSYoungGen: 36563K->4470K(36864K)] 70542K->38457K(124416K), 0.0025207 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
986.706: [GC (Allocation Failure) [PSYoungGen: 34678K->4454K(36864K)] 68665K->38449K(124416K), 0.0026465 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1149.430: [GC (Allocation Failure) [PSYoungGen: 34662K->5139K(36864K)] 68657K->39142K(124416K), 0.0026390 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1368.050: [GC (Allocation Failure) [PSYoungGen: 35347K->4566K(36864K)] 69350K->38577K(124416K), 0.0030210 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1583.167: [GC (Allocation Failure) [PSYoungGen: 34774K->4726K(36864K)] 68785K->38745K(124416K), 0.0025235 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1793.168: [GC (Allocation Failure) [PSYoungGen: 34934K->4832K(36864K)] 68953K->38867K(124416K), 0.0029243 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2003.167: [GC (Allocation Failure) [PSYoungGen: 35040K->5030K(36864K)] 69075K->39073K(124416K), 0.0036855 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2220.690: [GC (Allocation Failure) [PSYoungGen: 35238K->4790K(36864K)] 69281K->38841K(124416K), 0.0031491 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
